question,answer,category,article_reference,source,year_passed
Can the President declare a state of emergency? (variant 148),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 149),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 150),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 151),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 152),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 153),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 154),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 155),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 156),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 157),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 158),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 159),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 160),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 161),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 162),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 163),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 164),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 165),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 166),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 167),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 168),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 169),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 170),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 171),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 172),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 173),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 174),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 175),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 176),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 177),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 178),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 179),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 180),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 181),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 182),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 183),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 184),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 185),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 186),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 187),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 188),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 189),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 190),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 191),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 192),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 193),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 194),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 195),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 196),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 197),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 198),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 199),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 200),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 201),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 202),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 203),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 204),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 205),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 206),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 207),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 208),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 209),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 210),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 211),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 212),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 213),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 214),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 215),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 216),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 217),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 218),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 219),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 220),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 221),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 222),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 223),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 224),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 225),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 226),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 227),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 228),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 229),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 230),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 231),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 232),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 233),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 234),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 235),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 236),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 237),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 238),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 239),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 240),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 241),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 242),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 243),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 244),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 245),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 246),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 247),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 248),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
What changes during a state of emergency? (variant 249),"Civil liberties may be restricted temporarily, and military authorities may take over public order duties.",Emergency Powers,Varies,Cameroon Constitution / Sectoral Law,1996
Can the President declare a state of emergency? (variant 250),"Yes, under Article 9, the President may declare a state of emergency or war with legal backing.",Emergency Powers,Article 9,Cameroon Constitution / Sectoral Law,1996
Do Cameroonian citizens have a duty to vote? (ver 1),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 2),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 3),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 4),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 5),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 6),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 7),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 8),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 9),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 10),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 11),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 12),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 13),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 14),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 15),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 16),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 17),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 18),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 19),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 20),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 21),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 22),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 23),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 24),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 25),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 26),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 27),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 28),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 29),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 30),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 31),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 32),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 33),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 34),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 35),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 36),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 37),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 38),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 39),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 40),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 41),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 42),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 43),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 44),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 45),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 46),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 47),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 48),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 49),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 50),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 51),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 52),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 53),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 54),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 55),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 56),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 57),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 58),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 59),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 60),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 61),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 62),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 63),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
